Absorb,GRASS,Special,20,100,25,User recovers half the HP inflicted on opponent.,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Acid,POISON,Special,40,100,30,May lower opponent's Special Defense.,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.
Acid Armor,POISON,Status,—,—,20,Sharply raises user's Defense.,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Agility,PSYCHIC,Status,—,—,30,Sharply raises user's Speed.,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
Amnesia,PSYCHIC,Status,—,—,20,Sharply raises user's Special Defense.,The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
Aurora Beam,ICE,Special,65,100,20,May lower opponent's Attack.,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.
Barrage,NORMAL,Physical,15,85,20,Hits 2-5 times in one turn.,Round objects are hurled at the target to strike two to five times in a row.
Barrier,PSYCHIC,Status,—,—,20,Sharply raises user's Defense.,The user throws up a sturdy wall that sharply raises its Defense stat.
Bide,NORMAL,Physical,—,—,10,User takes damage for two turns then strikes back double.,"The user endures attacks for two turns, then strikes back to cause double the damage taken."
Bind,NORMAL,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.",Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
Bite,DARK,Physical,60,100,25,May cause flinching.,The target is bitten with viciously sharp fangs. This may also make the target flinch.
Blizzard,ICE,Special,110,70,5,May freeze opponent.,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
Body Slam,NORMAL,Physical,85,100,15,May paralyze opponent.,The user drops onto the target with its full body weight. This may also leave the target with paralysis.
Bone Club,GROUND,Physical,65,85,20,May cause flinching.,The user clubs the target with a bone. This may also make the target flinch.
Bonemerang,GROUND,Physical,50,90,10,Hits twice in one turn.,The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.
Bubble,WATER,Special,40,100,30,May lower opponent's Speed.,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.
Bubble Beam,WATER,Special,65,100,20,May lower opponent's Speed.,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.
Clamp,WATER,Physical,35,85,10,"Traps opponent, damaging them for 4-5 turns.",The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.
Comet Punch,NORMAL,Physical,18,85,15,Hits 2-5 times in one turn.,The target is hit with a flurry of punches that strike two to five times in a row.
Confuse Ray,GHOST,Status,—,100,10,Confuses opponent.,The target is exposed to a sinister ray that triggers confusion.
Confusion,PSYCHIC,Special,50,100,25,May confuse opponent.,The target is hit by a weak telekinetic force. This may also confuse the target.
Constrict,NORMAL,Physical,10,100,35,May lower opponent's Speed by one stage.,"The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s Speed stat."
Conversion,NORMAL,Status,—,—,30,Changes user's type to that of its first move.,The user changes its type to become the same type as the move at the top of the list of moves it knows.
Counter,FIGHTING,Physical,—,100,20,"When hit by a Physical Attack, user strikes back with 2x power.","A retaliation move that counters any physical attack, inflicting double the damage taken."
Crabhammer,WATER,Physical,100,90,10,High critical hit ratio.,The target is hammered with a large pincer. Critical hits land more easily.
Cut,NORMAL,Physical,50,95,30,,The target is cut with a scythe or claw.
Defense Curl,NORMAL,Status,—,—,40,Raises user's Defense.,The user curls up to conceal weak spots and raise its Defense stat.
